E_keV,eps_sim,err_pct,eps_ref,ratio
50,3.03329E-003,0.58,0.00000E+000,-
60,3.27076E-003,0.57,0.00000E+000,-
80,3.40091E-003,0.57,0.00000E+000,-
100,3.37197E-003,0.59,0.00000E+000,-
150,2.84643E-003,0.67,0.00000E+000,-
200,2.08431E-003,0.80,0.00000E+000,-
300,1.05737E-003,1.17,0.00000E+000,-
400,6.04487E-004,1.59,0.00000E+000,-
600,2.87449E-004,2.33,0.00000E+000,-
662,2.41656E-004,2.54,0.00000E+000,-
800,1.73254E-004,3.10,0.00000E+000,-
1000,1.20431E-004,3.75,0.00000E+000,-
1250,9.10183E-005,4.41,0.00000E+000,-
1461,7.62077E-005,4.72,0.00000E+000,-
1800,5.70369E-005,5.84,0.00000E+000,-
2200,3.50944E-005,6.76,0.00000E+000,-
2614,3.26461E-005,7.18,0.00000E+000,-
