file,section,geometry,E_keV,eps,unc_pct,nuclide,area,area_unc,yield_pct,used
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,238.632,6.482699E-02,3.613,Th-232,66422.113,1099.398,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,241.995,8.536038E-02,4.556,Ra-226,24305.598,799.598,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,295.223,4.754319E-02,3.849,Ra-226,34394.572,749.673,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,338.320,6.510581E-02,4.250,Th-232,17243.047,430.089,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,351.932,4.406149E-02,3.430,Ra-226,61605.735,755.085,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,583.187,2.981183E-02,3.461,Th-232,21367.756,302.807,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,609.320,2.575861E-02,3.231,Ra-226,46020.399,528.351,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,661.657,2.443609E-02,2.570,Cs-137,44138.676,243.447,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,911.204,2.230087E-02,4.384,Th-232,13521.095,377.976,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,1120.294,1.668434E-02,3.744,Ra-226,9776.645,218.145,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,1460.822,1.530646E-02,3.720,K-40,31194.312,439.615,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,1764.491,9.715169E-03,3.874,Ra-226,5837.861,142.588,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Дента.efa,УДС-ГЦ-63х63-USB №0086-16;Дента-120мл,Дента-120мл,2614.511,6.940240E-03,3.713,Th-232,5855.167,110.198,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,67.868,5.899764E-02,10.620,Ti-44,27249.000,2696.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,78.360,7.238008E-02,9.054,Ti-44,32379.000,2730.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,121.782,1.080348E-01,5.379,Eu-152,14570.000,678.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,238.632,9.062932E-02,3.545,Th-232,455748.334,6833.616,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,295.223,6.775857E-02,4.038,Ra-226,29497.467,736.946,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,338.320,7.812554E-02,3.747,Th-232,101551.612,1505.807,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,344.279,5.964747E-02,3.661,Eu-152,7118.000,146.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,351.932,6.250617E-02,3.502,Ra-226,52590.066,743.631,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,583.187,4.334782E-02,3.272,Th-232,152488.443,1307.366,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,609.320,3.670985E-02,3.179,Ra-226,39466.567,391.290,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,661.657,3.544419E-02,2.586,Cs-137,38224.442,236.510,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,778.904,2.661050E-02,4.849,Eu-152,1532.000,63.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,911.204,3.190514E-02,3.805,Th-232,94940.221,1663.927,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,964.079,2.174192E-02,5.203,Eu-152,1414.000,64.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,1120.294,2.398277E-02,3.887,Ra-226,8456.664,208.288,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,1408.006,1.538598E-02,4.610,Eu-152,1435.000,55.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,1460.822,1.984676E-02,4.247,K-40,3743.940,93.121,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,1764.491,1.331256E-02,4.146,Ra-226,4813.754,137.467,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Петри.efa,УДС-ГЦ-63х63-USB №0086-16;Петри-60,Петри-60,2614.511,8.785778E-03,3.332,Th-232,36378.478,336.974,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,59.541,2.772444E-03,6.523,Am-241,70191.000,4214.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,80.997,3.134299E-03,4.493,Ba-133,51260.000,2206.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,121.782,3.067634E-03,2.707,Eu-152,99740.000,2493.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,238.632,2.789831E-03,3.265,Th-228,261389.884,6963.333,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,302.851,2.440270E-03,3.533,Ba-133,21478.000,723.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,344.279,2.208708E-03,2.288,Eu-152,66637.000,853.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,356.013,2.159463E-03,1.499,Ba-133,64340.000,678.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,583.187,1.412106E-03,1.767,Th-228,93251.150,803.796,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,661.657,1.221501E-03,1.560,Cs-137,319027.783,1173.214,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,834.848,9.983515E-04,1.793,Mn-54,54589.000,510.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,898.042,9.063597E-04,1.629,Y-88,73223.475,401.320,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,964.079,8.293017E-04,2.448,Eu-152,13779.000,306.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,1085.869,7.767922E-04,1.698,Eu-152,9020.000,121.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,1112.069,7.767083E-04,1.688,Eu-152,12056.000,161.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,1173.228,6.946485E-04,1.191,Co-60,49388.000,303.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,1274.537,6.723270E-04,2.548,Na-22,292487.427,1442.380,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,1332.492,6.198122E-04,1.231,Co-60,44126.000,304.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,1408.006,6.238686E-04,2.088,Eu-152,14908.000,271.000,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,1836.063,4.509345E-04,1.678,Y-88,38568.724,265.839,0.0000,1
УДС-ГЦ-63х63-USB №0086-16 - Точечная-25см.efa,УДС-ГЦ-63х63-USB №0086-16;Точечная-25см,Точечная-25см,2614.511,3.054126E-04,1.733,Th-228,23670.341,205.289,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,238.632,4.344207E-02,3.369,Th-232,667828.705,6798.146,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,241.995,5.053376E-02,3.566,Ra-226,63201.016,1054.022,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,295.223,3.246181E-02,3.973,Ra-226,103149.445,2467.617,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,338.320,3.325384E-02,3.776,Th-232,132139.857,2053.050,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,351.932,3.228445E-02,3.436,Ra-226,198265.831,2464.152,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,463.004,2.750433E-02,5.286,Th-232,42669.923,1728.668,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,583.187,2.171222E-02,3.250,Th-232,233492.050,1803.473,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,609.320,1.982829E-02,3.087,Ra-226,155598.598,989.798,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,661.657,1.871300E-02,2.555,Cs-137,327437.742,1562.221,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,768.360,1.633088E-02,4.331,Ra-226,13787.265,429.494,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,911.204,1.346059E-02,5.319,Th-232,122448.008,5032.625,0.0000,1
УДС-ГЦ-63х63-USB_№0086-16 - Маринелли.efa,УДС-ГЦ-63х63-USB №0086-16;Маринелли,Маринелли,1120.294,1.374746E-02,3.341,Ra-226,35383.082,515.408,0.0000,1
